,userId,id,rating,original_title,predicted_rating
6396,3,267,3.0,Carne trémula,
6409,3,318,5.0,The Million Dollar Hotel,
6720,3,595,2.0,To Kill a Mockingbird,
6896,3,778,4.0,Les Vacances de Monsieur Hulot,
7020,3,866,3.0,Finding Neverland,
7047,3,1271,3.0,300,
7087,3,1378,4.0,Shortbus,
7115,3,1580,3.5,Rope,
7305,3,1721,4.5,...Più forte ragazzi!,
7469,3,1884,4.0,The Ewok Adventure,
7513,3,2028,4.0,Say Anything...,
7704,3,2694,3.0,Tuya de hun shi,
7733,3,2762,3.5,Young and Innocent,
7926,3,2841,4.0,Un long dimanche de fiançailles,
7948,3,2959,5.0,License to Wed,
8150,3,44191,3.5,Loose Screws,
8223,3,58559,3.0,Confession of a Child of the Century,
8344,4,112,5.0,Italiensk for begyndere,
8393,4,141,5.0,Donnie Darko,
8486,4,173,3.0,"20,000 Leagues Under the Sea",
8556,4,260,5.0,The 39 Steps,
8847,4,289,4.0,Casablanca,
8861,4,329,3.0,Jurassic Park,
8975,4,380,3.0,Rain Man,
9173,4,431,3.0,Cube,
9205,4,434,4.0,Knallhart,
9311,4,435,1.0,The Day After Tomorrow,
9366,4,440,4.0,Aliens vs Predator: Requiem,
9456,4,442,4.0,Populärmusik från Vittula,
9551,4,464,4.0,Så som i himmelen,
9560,4,541,5.0,The Man with the Golden Arm,
9706,4,594,5.0,The Terminal,
9777,4,596,5.0,The Grapes of Wrath,
9843,4,858,5.0,Sleepless in Seattle,
10043,4,903,5.0,Cool Hand Luke,
10112,4,910,4.0,The Big Sleep,
10178,4,913,5.0,The Thomas Crown Affair,
10240,4,919,5.0,Blood: The Last Vampire,
10357,4,1073,5.0,Arlington Road,
10505,4,1089,5.0,Point Break,
10637,4,1125,5.0,Dreamgirls,
10665,4,1127,5.0,Princesas,
10736,4,1213,5.0,The Talented Mr. Ripley,
10867,4,1257,5.0,Because I Said So,
10891,4,1259,4.0,Notes on a Scandal,
11003,4,1265,5.0,Bridge to Terabithia,
11168,4,1278,5.0,The Dreamers,
11242,4,1282,5.0,Dogtown and Z-Boys,
11306,4,1285,4.0,Torrente 3: El protector,
11367,4,1372,3.0,Blood Diamond,
11414,4,1374,4.0,Rocky IV,
11486,4,1376,3.0,Sweet Sixteen,
11551,4,1377,3.0,Houseboat,
11615,4,1380,5.0,Gleaming the Cube,
11705,4,1387,5.0,Superstar: The Karen Carpenter Story,
11813,4,1396,5.0,Зеркало,
11864,4,1544,3.0,Imagine Me & You,
11931,4,1858,5.0,Transformers,
11937,4,1917,4.0,Qui a tué Bambi ?,
12050,4,1918,2.0,Or,
12092,4,1954,5.0,The Butterfly Effect,
12161,4,1961,5.0,My Name Is Bruce,
12280,4,1967,3.0,Ask the Dust,
12316,4,1968,5.0,Fools Rush In,
12433,4,1994,5.0,The Most Dangerous Game,
12471,4,2000,5.0,"Aguirre, der Zorn Gottes",
12561,4,2002,3.0,Une vieille maîtresse,
12600,4,2003,2.0,Anatomie de l'enfer,
12647,4,2005,5.0,Sister Act,
12698,4,2014,4.0,Auf der anderen Seite,
12713,4,2018,5.0,The Wedding Planner,
12747,4,2020,4.0,The Bachelor,
12781,4,2021,4.0,Jack & Sarah,
12811,4,2033,4.0,Infinity,
12823,4,2034,4.0,Training Day,
12832,4,2046,5.0,The Gift,
12849,4,2054,3.0,Mr. Holland's Opus,
12925,4,2064,5.0,While You Were Sleeping,
12967,4,2078,5.0,The Pawnshop,
13013,4,2080,5.0,X-Men Origins: Wolverine,
13064,4,2085,5.0,Romeo Must Die,
13105,4,2086,5.0,Nick of Time,
13106,4,2087,5.0,The Getaway,
13144,4,2091,5.0,The Badge,
13147,4,2094,4.0,Roustabout,
13179,4,2100,5.0,The Last Castle,
13231,4,2102,5.0,Solar Crisis,
13238,4,2109,5.0,Rush Hour,
13289,4,2110,3.0,Wasabi,
13304,4,2114,5.0,Final Fantasy: The Spirits Within,
13327,4,2115,5.0,Light of Day,
13425,4,2124,4.0,Color of Night,
13460,4,2140,5.0,Kiss of the Dragon,
13488,4,2141,4.0,James Dean,
13514,4,2143,4.0,Carla's Song,
13529,4,2144,5.0,One Night at McCool's,
13575,4,2161,5.0,Fantastic Voyage,
13613,4,2263,3.0,Music Box,
13621,4,2268,5.0,The Golden Compass,
13697,4,2289,5.0,Cold Mountain,
13741,4,2348,4.0,Holy Matrimony,
13752,4,2371,4.0,Тегеран-43,
13780,4,2454,5.0,The Chronicles of Narnia: Prince Caspian,
13794,4,2616,1.0,Uncle Buck,
13821,4,2640,5.0,Heathers,
13896,4,2699,4.0,Titanic,
13958,4,2734,4.0,David,
13976,4,2770,1.0,American Pie 2,
14027,4,2788,5.0,Reality Bites,
14049,4,2791,5.0,The Chronicles of Riddick: Dark Fury,
14155,4,3016,3.0,Dr. Jekyll and Mr. Hyde,
14170,4,3034,5.0,Young Frankenstein,
14199,4,3040,5.0,Ночной дозор,
14205,4,3060,5.0,The Big Parade,
14226,4,3101,4.0,I Love You to Death,
14275,4,3104,4.0,Frankenstein Created Woman,
14304,4,3210,4.0,The Projected Man,
14356,5,3,4.0,Varjoja paratiisissa,
14415,5,104,4.0,Lola rennt,
14509,5,231,3.5,Syriana,
14667,5,277,4.5,Underworld,
14702,5,344,3.5,Bang Boom Bang - Ein todsicheres Ding,
14877,5,597,5.0,Titanic,
15024,5,788,3.5,Mrs. Doubtfire,
15092,5,1247,4.0,The Good Shepherd,
15181,5,1393,3.5,Die Höhle des gelben Hundes,
15287,5,1485,4.5,Get Carter,
15358,5,1682,4.0,Mosura tai Gojira,
15495,5,1777,4.0,Fahrenheit 9/11,
15565,5,1923,4.5,Twin Peaks: Fire Walk with Me,
15688,5,1997,3.5,Deux frères,
15752,5,2023,1.5,Hidalgo,
15787,5,2355,3.5,Reign Over Me,
15892,5,2502,3.5,The Bourne Supremacy,
15998,5,3114,3.5,The Searchers,
16123,5,3176,3.5,バトル・ロワイアル,
16189,5,4025,4.5,The Prize,
16242,5,4995,4.5,Boogie Nights,
16356,5,5816,3.0,Ober,
16437,5,5995,4.0,Miffo,
16498,5,6373,4.0,"Martha – Meet Frank, Daniel and Laurence",
16548,5,8464,4.0,Top of the Food Chain,
16593,5,30707,4.5,Star 80,
16658,5,30793,3.5,House of Dracula,
16705,5,33166,5.0,Downhill Racer,
16753,5,40819,4.5,Best Worst Movie,
16795,5,41566,4.0,New York Doll,
16844,5,41569,4.0,The Nomi Song,
16867,5,48385,4.5,Indestructible Man,
16911,6,111,4.0,Scarface,
17029,6,158,2.0,Knockin' on Heaven's Door,
17087,6,293,5.0,A River Runs Through It,
17219,6,1250,4.5,Ghost Rider,
17284,6,1358,2.0,A Brief History of Time,
17350,6,1639,2.0,Speed 2: Cruise Control,
17415,6,1687,2.0,Escape from the Planet of the Apes,
17436,6,1909,3.0,Don Juan DeMarco,
17483,6,2001,3.0,We Own the Night,
17540,6,2019,4.0,Hard Target,
17594,6,2072,4.0,Cyberjack,
17613,6,2528,3.0,Madame Bovary,
17641,6,2657,2.0,Pleasantville,
17704,6,2692,4.0,Der rote Elvis,
17784,6,2761,4.5,Secret Agent,
17826,6,2890,3.0,"André Hazes, Zij Gelooft in Mij",
17872,6,3052,1.0,Don't Make Waves,
17951,6,4641,1.5,Read It and Weep,
17987,6,4975,1.5,Love Is the Devil: Study for a Portrait of Francis Bacon,
18024,6,7090,3.0,Ken Park,
18057,6,8368,3.5,The Garden of Eden,
18141,6,8874,4.5,My Best Friend's Wedding,
18211,7,21,3.0,The Endless Summer,
18306,7,198,2.0,To Be or Not to Be,
18349,7,207,3.0,Dead Poets Society,
18377,7,316,2.0,Halbe Treppe,
18522,7,333,3.0,Bollywood/Hollywood,
18572,7,345,3.0,Eyes Wide Shut,
18620,7,534,4.0,Terminator Salvation,
18645,7,671,4.0,Harry Potter and the Philosopher's Stone,
18678,7,708,3.0,The Living Daylights,
18739,7,745,5.0,The Sixth Sense,
18801,7,780,3.0,La passion de Jeanne d'Arc,
19019,7,786,2.0,Almost Famous,
19088,7,924,4.0,Dawn of the Dead,
19211,7,1373,2.0,The Discovery of Heaven,
19236,7,1375,3.0,Rocky V,
19290,7,1394,3.0,Nostalghia,
19360,7,1408,1.0,Cutthroat Island,
19403,8,524,2.0,Casino,
19439,8,543,5.0,Blackmail,
19491,8,628,4.0,Interview with the Vampire,
19541,8,805,3.5,Rosemary's Baby,
19590,8,1552,3.0,Parenthood,
19649,8,2139,3.0,Cleopatra Jones and the Casino of Gold,
19676,8,2302,4.5,Avalon,
19752,8,2324,4.0,Local Color,
19851,8,3578,5.0,Der Tunnel,
20012,8,4011,4.5,Beetlejuice,
20107,8,4034,4.5,L'Homme de Rio,
20180,8,4226,5.0,Shriek If You Know What I Did Last Friday the Thirteenth,
20312,8,4886,3.5,And Then There Were None,
20442,8,4896,3.5,Muxmäuschenstill,
20547,8,4973,4.0,Sous le Sable,
20672,8,4993,3.5,5 Card Stud,
20872,8,5064,5.0,Carry On Doctor,
20895,8,8873,4.0,Wayne's World 2,
20921,8,43871,3.0,Beloved Enemy,
20924,8,44004,3.0,Hero at Large,
20930,9,26,3.0,LaLehet Al HaMayim,
20935,9,608,5.0,Men in Black II,
21159,9,1059,5.0,隠し砦の三悪人,
21217,9,1411,3.0,The Rapture,
21242,9,1541,2.0,Thelma & Louise,
21258,9,1584,4.0,School of Rock,
21350,9,1680,4.0,Kingu Kongu tai Gojira,
21376,9,2125,4.0,Wedlock,
21404,9,2291,4.0,Jacob's Ladder,
21493,9,2501,4.0,The Bourne Identity,
21528,9,2539,2.0,Spanglish,
21579,10,152,4.0,Star Trek: The Motion Picture,
21582,10,1499,3.0,Teenage Mutant Ninja Turtles III,
21610,10,1611,5.0,Das Wunder von Bern,
21622,10,1690,3.0,Hostel,
21667,10,1719,5.0,La Peau douce,
21690,10,1887,2.0,Marie Antoinette,
21696,10,2108,3.0,The Breakfast Club,
21735,10,2907,2.0,The Addams Family,
21741,10,2926,5.0,The Three Musketeers,
21762,10,3019,4.0,Dr. Jekyll and Mr. Hyde,
21789,11,70,1.0,Million Dollar Baby,
21837,11,169,3.0,Predator 2,
21845,11,923,5.0,Dawn of the Dead,
21930,11,2042,3.5,Savior,
21940,11,26614,5.0,La Chienne,
21953,11,91548,4.0,Ring of Fire II: Blood and Steel,
21954,11,97938,4.0,Heart of the Country,
21976,12,673,1.0,Harry Potter and the Prisoner of Azkaban,
22026,12,1732,3.0,The Prisoner of Zenda,
22146,12,2259,2.0,The House of the Spirits,
22157,12,2460,4.0,Tierra,
22162,12,2668,2.0,Sleepy Hollow,
22172,12,3146,2.0,Furankenshutain no Kaijū: Sanda tai Gaira,
22194,12,3179,2.0,Beavis and Butt-Head Do America,
22205,12,3780,2.0,赤ひげ,
22206,12,3865,5.0,Azuloscurocasinegro,
22212,13,531,4.0,The Wrong Trousers,
22243,13,914,4.0,The Great Dictator,
22294,13,3396,3.5,The Yes Men,
22329,14,2038,3.0,Iron Eagle III,
22337,14,2861,2.0,Le beau mariage,
22352,14,3175,5.0,Barry Lyndon,
22417,15,2,2.0,Ariel,
22524,15,5,4.5,Four Rooms,
22580,15,6,4.0,Judgment Night,
22684,15,11,2.5,Star Wars,
22766,15,14,2.5,American Beauty,
22797,15,16,3.5,Dancer in the Dark,
22885,15,19,1.0,Metropolis,
22977,15,22,2.5,Pirates of the Caribbean: The Curse of the Black Pearl,
23015,15,25,3.0,Jarhead,
23116,15,82,5.0,Miami Vice,
23126,15,95,1.5,Armageddon,
23219,15,101,4.0,Léon,
23236,15,107,2.0,Snatch,
23263,15,123,4.0,The Lord of the Rings,
23270,15,145,3.5,Breaking the Waves,
23313,15,149,5.0,アキラ,
23319,15,157,2.0,Star Trek III: The Search for Spock,
23327,15,160,0.5,L'arrivée d'un train en gare de La Ciotat,
23390,15,162,4.0,Edward Scissorhands,
23423,15,163,2.0,Ocean's Twelve,
23486,15,164,4.0,Breakfast at Tiffany's,
23512,15,170,2.5,28 Days Later,
23538,15,172,1.0,Star Trek V: The Final Frontier,
23586,15,175,4.0,Le Grand Bleu,
23609,15,176,4.0,Saw,
23627,15,180,3.0,Minority Report,
23671,15,193,1.0,Star Trek: Generations,
23706,15,196,2.0,Back to the Future Part III,
23761,15,214,2.0,Saw III,
23763,15,215,4.5,Saw II,
23781,15,216,1.0,Angst essen Seele auf,
23823,15,232,4.0,Rumble Fish,
23847,15,233,4.0,The Wanderers,
23860,15,237,3.5,Young Adam,
23894,15,246,5.0,座頭市,
23955,15,252,2.0,Willy Wonka & the Chocolate Factory,
23996,15,288,2.0,High Noon,
24103,15,306,5.0,Beverly Hills Cop III,
24135,15,307,4.0,Roma città aperta,
24166,15,308,4.0,Broken Flowers,
24188,15,322,2.5,Mystic River,
24202,15,335,2.0,C'era una volta il West,
24205,15,342,3.0,Sommersturm,
24261,15,429,1.0,"Il buono, il brutto, il cattivo",
24270,15,441,4.0,Human Nature,
24307,15,466,2.5,Klute,
24366,15,471,3.0,Bandyta,
24415,15,481,3.0,7 vírgenes,
24447,15,483,1.0,Wild at Heart,
24451,15,494,4.0,Shaft in Africa,
24512,15,535,3.0,Flashdance,
24538,15,540,1.5,D.E.B.S.,
24556,15,549,5.0,Basquiat,
24568,15,562,3.0,Die Hard,
24598,15,574,3.0,The Man Who Knew Too Much,
24607,15,647,1.5,Final Fantasy VII: Advent Children,
24638,15,648,4.0,La belle et la bête,
24806,15,663,2.0,Saw IV,
24823,15,665,3.0,Ben-Hur,
24828,15,674,3.0,Harry Potter and the Goblet of Fire,
24849,15,680,2.0,Pulp Fiction,
24855,15,750,4.0,Murder She Said,
24960,15,762,2.0,Monty Python and the Holy Grail,
24999,15,784,2.5,Kolja,
25058,15,799,3.0,Pünktchen und Anton,
25082,15,800,5.0,Los Olvidados,
25117,15,802,1.0,Lolita,
25189,15,803,4.5,Nuit et brouillard,
25191,15,804,3.5,Roman Holiday,
25205,15,832,1.0,M,
25281,15,836,2.0,Vidas secas,
25294,15,851,4.0,Brief Encounter,
25302,15,899,5.0,Broken Blossoms,
25366,15,909,4.0,Meet Me in St. Louis,
25399,15,911,4.0,The Bank Dick,
25426,15,912,5.0,The Thomas Crown Affair,
25543,15,916,1.0,Bullitt,
25569,15,920,3.5,Cars,
25637,15,922,1.0,Dead Man,
25676,15,926,3.0,Galaxy Quest,
25714,15,931,1.0,Don't Look Now,
25730,15,953,3.0,Madagascar,
25802,15,994,4.0,Straw Dogs,
25824,15,1088,2.0,Whale Rider,
25877,15,1092,2.5,The Third Man,
25933,15,1093,2.0,Ascenseur pour l'échafaud,
25969,15,1244,5.0,Das wilde Leben,
26023,15,1246,1.0,Rocky Balboa,
26118,15,1248,3.0,Hannibal Rising,
26137,15,1249,3.0,Hollywoodland,
26176,15,1251,3.0,Letters from Iwo Jima,
26196,15,1252,5.0,Lonely Hearts,
26272,15,1254,3.5,"Je vais bien, ne t'en fais pas",
26302,15,1260,3.0,Leiutajateküla Lotte,
26323,15,1262,1.5,Stranger Than Fiction,
26372,15,1266,4.0,Street Kings,
26429,15,1267,5.0,Meet the Robinsons,
26478,15,1272,3.5,Sunshine,
26518,15,1280,3.0,빈집,
26537,15,1281,1.0,Bean,
26560,15,1283,3.0,"Torrente, el brazo tonto de la ley",
26581,15,1284,3.0,Torrente 2: Misión en Marbella,
26613,15,1361,3.5,The Return of the King,
26626,15,1370,3.0,Rambo III,
26692,15,1391,0.5,Y tu mamá también,
26772,15,1407,5.0,La Môme,
26845,15,1479,1.5,"Clean, Shaven",
26880,15,1483,3.0,Begotten,
26889,15,1484,3.0,Der Totmacher,
26892,15,1546,4.0,Thumbsucker,
26894,15,1556,2.5,薔薇の葬列,
26917,15,1562,1.5,28 Weeks Later,
26964,15,1573,4.0,Die Hard 2,
27047,15,1589,2.0,The Boys from County Clare,
27066,15,1597,2.0,Meet the Parents,
27110,15,1608,1.0,When Saturday Comes,
27180,15,1610,3.0,Fever Pitch,
27277,15,1615,3.0,Erkan & Stefan gegen die Mächte der Finsternis,
27287,15,1616,3.0,Erkan & Stefan in Der Tod kommt krass,
27301,15,1635,4.0,The Island,
27318,15,1644,1.5,The Vanishing,
27348,15,1645,3.0,A Time to Kill,
27408,15,1649,2.0,Bill & Ted's Bogus Journey,
27414,15,1653,3.0,Diarios de motocicleta,
27498,15,1673,3.0,Comanche Station,
27560,15,1676,4.0,Will Penny,
27632,15,1689,4.5,Little Buddha,
27644,15,1694,3.0,Re-Animator,
27660,15,1717,4.0,All the King's Men,
27692,15,1722,3.5,Captain Corelli's Mandolin,
27741,15,1729,1.0,The Forbidden Kingdom,
27798,15,1735,0.5,The Mummy: Tomb of the Dragon Emperor,
27813,15,1779,1.0,Roger & Me,
27832,15,1792,3.0,Stuck on You,
27854,15,1807,1.5,Elephant,
27856,15,1810,2.5,Viva Zapata!,
27871,15,1816,2.5,A Chorus Line,
27875,15,1831,2.0,The Next Best Thing,
27901,15,1834,3.5,"Murder, My Sweet",
27924,15,1836,2.0,Dans ma peau,
27933,15,1845,4.0,2 Days in Paris,
27945,15,1859,5.0,Ninotchka,
27947,15,1882,1.5,The Men,
27975,15,1883,4.0,Malcolm X,
28006,15,1895,2.5,Star Wars: Episode III - Revenge of the Sith,
28020,15,1904,3.5,Memoirs of a Geisha,
28024,15,1912,5.0,Free Rainer - Dein Fernseher lügt,
28053,15,1914,3.5,FC Venus,
28066,15,1921,4.0,Sweet November,
28106,15,1945,4.0,Nell,
28135,15,1950,3.0,Lucky You,
28157,15,1955,4.5,The Elephant Man,
28188,15,1956,4.0,Gerry,
28219,15,1964,3.0,Ein Freund von mir,
28234,15,2006,4.0,"Bell, Book and Candle",
28289,15,2010,3.0,殯の森,
28315,15,2011,3.0,Persepolis,
28414,15,2012,1.0,Stellet Licht,
28508,15,2058,2.5,Addicted to Love,
28541,15,2133,3.5,The Perfect Storm,
28563,15,2134,3.5,The Time Machine,
28599,15,2160,3.0,Voyage to the Bottom of the Sea,
28635,15,2186,3.0,Within the Woods,
28658,15,2232,4.0,Die Legende von Paul und Paula,
28679,15,2269,2.5,Дневной дозор,
28694,15,2282,0.5,À nos amours,
28708,15,2288,3.0,Closer,
28741,15,2313,3.5,Prime,
28769,15,2321,3.5,Married to the Mob,
28833,15,2333,3.0,Buddenbrooks,
28856,15,2334,3.0,Taxi 3,
28872,15,2357,3.0,10 Items or Less,
28883,15,2360,2.0,Saving Grace,
28894,15,2395,5.0,Astérix aux Jeux Olympiques,
28962,15,2428,1.0,The Greatest Story Ever Told,
28984,15,2447,2.5,The Nativity Story,
28997,15,2574,1.0,Les amants,
29008,15,2575,3.0,The Tailor of Panama,
29017,15,2594,4.0,Monsieur Batignole,
29026,15,2605,1.0,Short Circuit,
29067,15,2617,1.0,The Great Outdoors,
29146,15,2648,3.0,新最佳拍檔,
29161,15,2671,4.0,リング,
29225,15,2701,1.0,Abraham,
29272,15,2722,2.0,El otro lado de la cama,
29306,15,2759,1.0,"The Adventures of Priscilla, Queen of the Desert",
29328,15,2769,2.0,An American in Paris,
29334,15,2912,4.0,Le Boucher,
29351,15,2925,4.0,The First Wives Club,
29358,15,2973,4.0,Аэлита,
29386,15,2976,2.0,Hairspray,
29407,15,2990,3.5,Pacific Heights,
29424,15,2993,4.0,Una sull'altra,
29441,15,3004,1.0,12 + 1,
29454,15,3007,2.5,Frau im Mond,
29468,15,3010,4.0,The Cardinal,
29470,15,3030,4.0,End of the World,
29479,15,3033,4.0,Gods and Monsters,
29537,15,3077,3.0,Son of Frankenstein,
29546,15,3081,1.0,The Goddess,
29598,15,3082,3.0,Modern Times,
29634,15,3083,5.0,Mr. Smith Goes to Washington,
29654,15,3089,3.0,Red River,
29677,15,3107,3.0,怪獣総進撃,
29709,15,3134,1.0,Baise-moi,
29721,15,3160,3.0,Furankenshutain Tai Chitei Kaijū Baragon,
29778,15,3168,2.5,Ballo a tre passi,
29803,15,3173,2.5,เพชฌฆาตเงียบอันตราย,
29828,15,3418,1.0,La Mort en direct,
29873,15,3476,4.5,L'important c'est d'aimer,
29897,15,3484,0.5,The Mask of Fu Manchu,
29908,15,3489,2.0,88 Minutes,
29951,15,3512,3.0,Under Siege 2: Dark Territory,
29970,15,3527,3.0,Don't Come Knocking,
30023,15,3536,4.0,U-571,
30041,15,3543,2.0,Out of Rosenheim,
30063,15,3556,3.0,Mad Dog Coll,
30093,15,3577,3.5,Der Tunnel,
30097,15,3598,3.0,Lost Horizon,
30103,15,3635,3.5,Girl with a Pearl Earring,
30125,15,3638,3.5,No Reservations,
30148,15,3683,4.0,Flags of Our Fathers,
30172,15,3763,2.0,鬼婆,
30193,15,3786,2.0,Buck Rogers in the 25th Century,
30198,15,3981,1.0,What Women Want,
30210,15,3989,3.0,Team America: World Police,
30215,15,4148,1.0,Revolutionary Road,
30248,15,4232,3.0,Scream,
30262,15,4235,4.0,Le Clan des Siciliens,
30292,15,4247,1.0,Scary Movie,
30302,15,4271,4.0,La Vie est un long fleuve tranquille,
30305,15,4344,2.0,Hotel Very Welcome,
30338,15,4351,3.0,Bordertown,
30355,15,4369,3.0,Juste une question d'amour,
30395,15,4380,2.0,Shall We Dance?,
30398,15,4546,3.0,The Count of Monte-Cristo,
30403,15,4638,1.0,Hot Fuzz,
30434,15,4639,1.0,Best Seller,
30448,15,4643,3.0,The Guardian,
30492,15,4658,2.0,Arctic Tale,
30497,15,4701,3.0,A Tale of Two Cities,
30523,15,4723,3.5,Southland Tales,
30528,15,4727,3.0,Le Gendarme de Saint-Tropez,
30534,15,4728,4.0,Le Gendarme à New York,
30542,15,4734,1.0,Van Gogh,
30573,15,4816,3.0,Ghost Dog: The Way of the Samurai,
30619,15,4823,2.5,Final Analysis,
30638,15,4958,1.0,The Legend of Bagger Vance,
30650,15,4974,2.0,5x2,
30663,15,4979,5.0,Montag kommen die Fenster,
30732,15,4992,1.5,Shark!,
30742,15,5000,3.5,Jeux interdits,
30743,15,5060,1.5,Carry On Screaming,
30802,15,5066,3.0,Carry On Cleo,
30812,15,5071,5.0,Gadjo Dilo,
30813,15,5279,0.5,Gosford Park,
30816,15,5319,3.5,Hum Dil De Chuke Sanam,
30821,15,5458,1.0,Cruel Intentions 2,
30823,15,5481,2.0,Schock,
30868,15,5528,1.0,Les Choristes,
30887,15,5618,1.5,"Cousin, Cousine",
30950,15,5620,0.5,"Nachts, wenn Dracula erwacht",
30972,15,5902,4.0,A Bridge Too Far,
31014,15,5956,2.5,Joshua,
31049,15,5968,3.0,The Woman in Red,
31051,15,5991,1.0,Der letzte Mann,
31102,15,6003,1.5,Romeo and Juliet,
31118,15,6016,2.0,The Good Thief,
31187,15,6037,3.0,Murder by Death,
31188,15,6283,1.0,MouseHunt,
31204,15,6440,3.5,The Shipping News,
31227,15,6537,2.5,El orfanato,
31265,15,6547,1.0,Schtonk!,
31266,15,6552,1.5,Idle Hands,
31276,15,6593,1.0,ゴジラvsメカゴジラ,
31290,15,6620,1.5,Sabrina,
31307,15,6641,4.0,Love and Other Disasters,
31310,15,6934,1.5,Yesterday,
31364,15,6936,1.0,Ben X,
31391,15,6947,1.0,The Village,
31425,15,6957,4.0,The 40 Year Old Virgin,
31444,15,6961,2.5,The Wedding Date,
31446,15,6978,2.5,Big Trouble in Little China,
31451,15,7008,3.5,The Wilby Conspiracy,
31456,15,7010,3.5,The Wild Geese,
31458,15,7346,3.0,文雀,
31471,15,7348,2.0,Robinson Crusoe on Mars,
31478,15,7445,1.5,Brothers,
31501,15,7451,3.5,xXx,
31529,15,7484,4.0,Open Season,
31532,15,8011,2.0,Highlander III: The Sorcerer,
31537,15,8366,2.5,Der Schuh des Manitu,
31552,15,8645,2.0,The Happening,
31569,15,8665,3.5,K-19: The Widowmaker,
31643,15,8914,4.5,Deep Blue Sea,
31655,15,8930,2.5,La vie moderne,
31657,15,8948,1.0,Die Perlmutterfarbe,
31661,15,8961,2.0,Bad Boys II,
31787,15,8970,2.0,The Out-of-Towners,
31824,15,8974,2.5,The War of the Worlds,
31826,15,8984,2.0,Disclosure,
31860,15,26131,5.0,Straight From the Heart,
31866,15,26152,4.0,Erreur de la banque en votre faveur,
31870,15,26587,5.0,Dread,
31875,15,26810,2.0,Brodeuses,
31877,15,27904,2.5,แสงศตวรรษ,
31891,15,30810,1.5,Olga's House of Shame,
31920,15,31685,0.5,The Hunchback of Notre Dame,
31944,15,31696,3.5,A Kiss Before Dying,
31969,15,34334,1.5,That Night,
31973,15,35957,2.5,Dial 1119,
31980,15,36529,1.0,Metamorphosis,
32011,15,38061,4.5,Anybody's Son Will Do,
32040,15,40815,1.5,Le Bossu,
32099,15,42718,4.5,「エロ事師たち」より 人類学入門,
32103,15,44555,1.0,三枪拍案惊奇,
32140,15,45186,2.5,Big Bad Mama,
32161,15,45722,2.0,No mires para abajo,
32220,15,46578,1.0,The Great American Girl Robbery,
32296,15,46972,3.5,Big Girls Don't Cry... They Get Even,
32314,15,46976,3.5,Wish You Were Here,
32354,15,47610,1.5,Schwerkraft,
32387,15,48780,4.0,Boat,
